voting_number,timestamp,voter,vote,staked_ANT_amount,tx
0,2019-01-24T00:05:56.000Z,0x17d38262ceb5317af645a246b0ce6fc4cc3088f6,Yes,249.98,0x7bffb2e0cf5e1a73bea38565d25821418344269bd14465d8f02699e9dc8f2efa
0,2019-01-24T01:22:45.000Z,0x2b5afa7a939e475a327c763f725d88e8a92ce342,Yes,1510.761544,0x51947df002e5ac8bb2928e083dfd5d57b9e2ac0bee2628b5225bd3619233fe55
0,2019-01-24T02:44:02.000Z,0x839395e20bbb182fa440d08f850e6c7a8f6f0780,Yes,2987.342012,0x3b62bc58824723f7507f4dfd33b7a9e3ff941a6f7cad8058e09815b0b243314d
0,2019-01-24T03:09:50.000Z,0xd472fa32294977196b9ad47e7865e0d737220e32,Yes,5602.726497,0xac26a765b069f9db78c532e07889599e2c855ec9c36be76469785dc17ffb7f0d
0,2019-01-24T03:10:30.000Z,0xd472fa32294977196b9ad47e7865e0d737220e32,Yes,5602.726497,0x7a620bf8e4f80c0646e2cec6bd9cba108a29e8c17c686f151354755e7f826a0e
0,2019-01-24T03:15:12.000Z,0x915bef8030c3f6e992522ab9fb714ffe6c30156c,Yes,2950.276923,0xe1675ed38be7ddbc77eedee467c1bb35929134067ad23ae4b232b229b955c4c3
0,2019-01-24T04:38:27.000Z,0xbfc7cae0fad9b346270ae8fde24827d2d779ef07,Yes,218.4081505,0x508a0ddc3b9eb6aa5ff9b36fb153fdbcaf00a7dc0eff9c6954b411587c594f88
0,2019-01-24T06:07:19.000Z,0x86e1c887490b57fd84231d048466efea9f1c762a,Yes,202.3750482,0xea0bd8766cee876a464cdb12d9a0a76a800d2177574d01eecac6f544e1c98cc0
0,2019-01-24T07:22:30.000Z,0x450c0c90706a8cc664e8b496711370b43415715d,Yes,47548.26097,0xf7c5abf5932ec0d8f1aac40df5f42a5ae3d43eac275f7bc10b6cefff325a9eb7
0,2019-01-24T11:55:28.000Z,0x47e317b00862fa05ffc5d0c063dfcd45e9c5e456,Yes,3670.12,0x8e6da039b04128089d516832a5390d829584ddd69ac6d909dc75b210ef7cbf0e
0,2019-01-24T15:33:35.000Z,0x0ed8f275eab9edf99120c4b101c232ff46ef7145,Yes,100000,0x3b9ca64c29fabeba89010a1f0766d1755ead8fc0018ab22cc3a5d7e01d30267f
0,2019-01-24T16:35:39.000Z,0x4941105e6d11cff9be097a837cb68091f59a029c,Yes,2501.194388,0x654a52023df344152d199c223830938894dfa603db5912b5f58b2798bf85ba22
0,2019-01-24T16:39:33.000Z,0xf69cd35a7299ba94e6bee03265837d0acb89d44a,Yes,16397.378,0xdbd15ba5eedadf99e58efe271aff2ce42a3c6b7f957c56ae48264786e86d30b9
0,2019-01-24T16:44:33.000Z,0x57364d13258bdac76167605d9fb47e958d0d1ab1,No,415,0x9b43faaa8926bd899d53e8fd875fcbfe55e22dc17e77f3eb116e2f8ad44a64ad
0,2019-01-24T17:03:05.000Z,0xf0bea4a25b280955417b1ca0c2519a5f6e752fae,Yes,243.3878319,0x25dcf687a74b1d7ea8d765a95f56ecedcddf73de6e45602048b915af2d6cb2ab
0,2019-01-24T17:09:19.000Z,0xaf54743051f61fda465609460f081c9aa426569e,Yes,594143,0xc526552ddabd258a7c6cbbd94906e2b000c116bbcd8690e4ba98f3a79856ec03
