,voting_number,timestamp,voter,vote,staked_ANT_amount,tx,Vote Weight,Result,timestamp_norm,staked_norm,cluster
141,4,1.548355414e+18,0xb8506be2c700641873108a1a47d8e509157cf231,1,207593.4902,0x38d6a70939765e5d3c96a1a3e1fecb348000dc1edb47a2c723cc55585e0490f9,207593.4902,1,0.41941583973038754,0.10850927918582069,1
142,4,1.548356439e+18,0x1defc86fa2e22289cf32fb487b48e9f101be6b1c,1,376.2098923,0xfa5849a90b540280cc876cf9c4ac63efa9bb154d771b6cdd5236a99e313414b7,376.2098923,1,0.42581289396492544,0.000196617217823212,1
143,4,1.548370062e+18,0xf1f0c294d247e8691d1118a86ccc669da3c75ca8,1,6169.916293,0x9ff0944b092ac2105c717e7910cfa6f49fc7afcaf777a245785e3146a9a127e8,6169.916293,1,0.5108344255133246,0.003224992853238421,1
144,4,1.548371546e+18,0xcafb4ff79d39949d29e2ec4eb6b42c1e7b4d8b2b,1,46453.40167,0xa687bb64c8d8a63941a3254524d279d7cb0d290418261a54afdfb26fbe28c803,46453.40167,1,0.5200961118392311,0.024281207508950405,1
145,4,1.548372664e+18,0x583da21ad0c1171ae4b6cf24d92c46f033a0a794,1,100.0,0xb6176d562cb16cad060a8691ce675e68a54a7562179e39f55c37cedfaca30eb1,100.0,1,0.5270735817262685,5.224205445612866e-05,1
146,4,1.548378643e+18,0xedfada8246c5d3e93e8012ffc8a549c32ef75b9c,1,28.59535556,0x0ff7b1ac554a0a300cf5bb09d17e96c2d59b1a576b6f6eb2c59f1be360bdec38,28.59535556,1,0.5643886912563191,1.4918781490233147e-05,1
147,4,1.548380272e+18,0x17de335cda63c144037b6fe43fadc7f9d0c21bb6,1,4000.0,0xcc49b9dc9c11cba9db80b7685275b488e1397a85b669db8636953bfbef496cf8,4000.0,1,0.5745553267178432,0.002090775621965235,1
148,4,1.548385179e+18,0xefa62e5ca8f914d3bb2c9ffa3da9c1cd2bd8bdd2,1,24840.0,0xdb424f03438bd3109eaa3e6030b44413c1c7e4034f55f71e2b73a435934285cc,24840.0,1,0.6051800536728453,0.012983862685270308,1
149,4,1.548387896e+18,0x4323b6f87e3ad7719b4a2ed791957faf96752bd4,1,13317.967040000001,0x144d8d58081ea908161a5e2d9dbebc0ff360303d0bf5212f4c351a5c437d1819,13317.967040000001,1,0.6221369281657617,0.006961285517345612,1
150,4,1.548400269e+18,0x702eccb2b9bf886e27b0698601dc735501b9b546,1,89575.16863,0x0efbd9c4faf707f3e2792498a94092a7cc0c6bd42e09338294b617f4983750a1,89575.16863,1,0.6993571740622855,0.04682099454440299,2
